00881,14.59,14.71,14.77,14.59,14.65,1.18,14.56,0.21%,0.03,"8,054","7,202",1.24%
2312,12.85,12.95,12.95,12.70,12.82,0.382,12.85,0.00%,0.00,"2,977","2,909",1.95%
2330,501,509,509,499.0,504,170.59,502,0.20%,1,"33,815","17,145",1.99%
2344,22.70,23.05,23.10,22.60,22.80,2.55,22.85,0.66%,0.15,"11,166","20,001",2.19%
2461,19.50,19.75,19.75,19.35,19.45,0.050,19.60,0.51%,0.10,255,608,2.04%
3686,12.25,12.60,12.60,12.20,12.31,0.035,12.60,2.78%,0.35,282,163,3.17%
6213,72.9,73.7,74.2,72.4,73.0,1.54,73.1,0.27%,0.2,"2,108","2,872",2.46%
